1a	1a	"DeeDeemensional"	Rob Renzetti & Genndy Tartakovsky	Rob Renzetti	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102a
28c	15c	"Ultrajerk 2000"	John McIntyre	Zeke Kamm	Daniel Krall	October 22, 1997	214c (34-5445)
29a	16a	"Techno Turtle"	Rob Renzetti	Jeffrey Delman, Laura Glendinning & Zeke Kamm	Rob Renzetti	October 29, 1997	216a (34-5441)
29b	16b	"Surprise!"	Robert Alvarez	Jeffrey Delman, Laura Glendinning & Zeke Kamm	Andy Bialk	October 29, 1997	216b (34-5451)
29c	16c	"Got Your Goat"	Robert Alvarez & Genndy Tartakovsky	Jeffrey Delman, Laura Glendinning & Zeke Kamm	Nora Johnson	October 29, 1997	216c (34-5444)
30a	17a	"Dee Dee Be Deep"	Genndy Tartakovsky	Zeke Kamm	Chris Savino	November 5, 1997	218a (34-5454)
30b	17b	"911"	Rob Renzetti & Genndy Tartakovsky	Zeke Kamm	Ace Conrad & Genndy Tartakovsky	November 5, 1997	218b (34-5446)
30c	17c	"Down in the Dumps"	Robert Alvarez	Zeke Kamm	Kevin Kaliher	November 5, 1997	218c (34-5456)
31a	18a	"Unfortunate Cookie"	Robert Alvarez & Genndy Tartakovsky	TBA	Kevin Kaliher	November 12, 1997	217a (34-5440)
31b	18b	"The Muffin King"	Genndy Tartakovsky	TBA	Mike Stern	November 12, 1997	217b (34-5450)
32a	19a	"Picture Day"	Genndy Tartakovsky	TBA	David Smith	November 19, 1997	219a (34-5455)
32b	19b	"Now That's a Stretch"	Genndy Tartakovsky	TBA	Nora Johnson	November 19, 1997	219b (34-5453)
32c	19c	"Dexter Detention"	Rob Renzetti	TBA	David Smith & Christopher Battle	November 19, 1997	219c (34-5431)
33a	20a	"Don't Be a Baby"	Robert Alvarez & Genndy Tartakovsky	TBA	Mike Stern	November 26, 1997	221a (34-5457)
33b	20b	"Dial M for Monkey: Peltra"	Genndy Tartakovsky	TBA	Paul Rudish	November 26, 1997	221b (34-5458)
33c	20c	"G.I.R.L. Squad"	Rumen Petkov	TBA	Andy Bialk	November 26, 1997	221c (34-5459)
34a	21a	"Sports a Poppin'"	Rob Renzetti & Genndy Tartakovsky	TBA	Douglas McCarthy & Genndy Tartakovsky	December 3, 1997	222a (34-5463)
34b	21b	"Koosalagoopagoop"	Genndy Tartakovsky	TBA	David Smith	December 3, 1997	222b (34-5462)
34c	21c	"Project Dee Dee"	Robert Alvarez	TBA	Chris Savino	December 3, 1997	222c (34-5460)
35a	22a	"Topped Off"	Genndy Tartakovsky	TBA	Chris Savino	January 14, 1998	220a (34-5465)
35b	22b	"Dee Dee's Tail"	Rumen Petkov	TBA	Kevin Kaliher	January 14, 1998	220b (34-5464)
35c	22c	"No Power Trip"	Rob Renzetti	TBA	Christopher Battle	January 14, 1998	220c (34-5466)
36a	23a	"Sister Mom"	Rob Renzetti & Genndy Tartakovsky	Paul Harrison	Craig McCracken	January 21, 1998	227a (34-5461)
36b	23b	"The Laughing"	Robert Alvarez & Genndy Tartakovsky	Paul Harrison	Bryan Maille & Genndy Tartakovsky	January 21, 1998	227b (34-5452)
37a	24a	"Dexter's Lab: A Story"	Genndy Tartakovsky	Sami Rank & Michael Ryan	Paul Rudish	January 28, 1998	224a (34-5467)
37b	24b	"Coupon for Craziness"	Rumen Petkov	Sami Rank & Michael Ryan	Chris Savino	January 28, 1998	224b (34-5476)
37c	24c	"Better Off Wet"	John McIntyre	Sami Rank & Michael Ryan	Andy Bialk	January 28, 1998	224c (34-5468)
38a	25a	"Critical Gas"	Rumen Petkov	Michael Ryan	Mike Stern	February 4, 1998	226a (34-5474)
